show_id,show_name,s1_rating,final_rating
alteredcarbon,Altered Carbon,8.14,6.6
bettercallsaul,Better Call Saul,8.68,9.1
breakingbad,Breaking Bad,8.5,9.5
dark,Dark,8.8,8.9
dexter,Dexter,8.733333333,7.41
gameofthrones,Game of Thrones,8.97,6.4
hisdarkmaterials,His Dark Materials,8.125,7.73
lost,Lost,8.4,7.4
lukecage,Luke Cage,7.923076923,7.47
mrrobot,Mr. Robot,8.67,9.22
ozark,Ozark,8.11,8.19
thehandmaidstale,The Handmaid's Tale,8.33,7.54
themaninthehighcastle,The Man in the High Castle,7.94,7.77
theshield,The Shield,8.123076923,8.48
thesopranos,The Sopranos,8.538461538,8.56